Census Tract,2023 Median Household Income
010730141.04,"$55,256"
010730141.05,"$58,904"
010730141.06,"$65,173"
010730141.07,"$60,708"
010730142.05,"$84,279"
010730142.06,"$79,130"
010730142.07,"$59,830"
010730142.08,"$105,495"
010730142.09,"$102,796"
010730143.01,"$37,442"
010730143.03,"$96,976"
010730143.04,"$56,271"
010730144.04,"$91,554"
010730144.05,"$70,499"
010730144.06,"$114,739"
010730144.08,"$58,105"
010730144.09,"$89,417"
010730144.10,"$110,449"
010730144.12,"$103,308"
010730144.14,"$135,448"
010730144.15,"$110,220"
010750300.00,"$36,140"
010750301.01,"$42,116"
010750301.02,"$39,147"
010750302.00,"$54,171"
010770101.00,"$21,208"
010770102.00,"$21,838"
010770103.00,"$15,372"
010770104.00,"$35,340"
010770106.00,"$37,547"
010770107.00,"$24,551"
010770108.00,"$36,311"
010770109.01,"$43,731"
010770109.02,"$39,557"
010770110.00,"$39,428"
010770111.01,"$63,369"
010770111.02,"$51,015"
010770112.00,"$50,853"
010770113.00,"$47,111"
010770114.01,"$58,639"
010770114.02,"$69,472"
010770115.02,"$83,560"
010770115.03,"$78,452"
010770115.04,"$61,907"
010770116.02,"$76,520"
010770116.03,"$78,212"
010770116.05,"$83,301"
010770116.06,"$78,087"
010770117.00,"$56,825"
010770118.01,"$54,761"
010770118.02,"$62,450"
010799791.00,"$52,366"
010799792.01,"$33,490"
010799792.02,"$42,941"
010799793.00,"$58,587"
010799794.00,"$35,043"
010799795.01,"$48,343"
010799795.02,"$45,937"
010799796.00,"$54,111"
010799797.00,"$48,094"
010799798.00,"$59,045"
010799799.00,"$55,988"
010830201.01,"$75,365"
010830201.03,"$61,478"
010830201.04,"$58,229"
010830202.01,"$54,470"
010830202.02,"$71,372"
010830203.00,"$65,315"
010830204.02,"$64,743"
010830204.03,"$51,976"
010830204.04,"$56,649"
010830205.00,"$36,622"
010830206.00,"$36,345"
010830207.00,"$38,953"
010830208.03,"$104,598"
010830208.04,"$100,883"
010830208.05,"$67,392"
010830208.06,"$78,064"
010830209.00,"$73,089"
010830210.00,"$45,884"
010830211.01,"$54,785"
010830211.02,"$86,699"
010830212.01,"$150,793"
010830212.02,"$114,222"
010830212.03,"$103,863"
010890002.03,"$29,783"
010890003.01,"$42,057"
010890003.02,"$37,047"
010890004.03,"$61,506"
010890005.01,"$52,899"
010890005.02,"$55,091"
010890005.03,"$55,440"
010890006.01,"$54,962"
010890006.02,"$51,460"
010890007.01,"$36,993"
010890007.02,"$37,324"
010890009.01,"$77,878"
010890009.02,"$74,705"
010890010.00,"$75,861"
010890012.00,"$16,036"
010890013.01,"$28,771"
010890013.02,"$41,912"
010890014.01,"$98,056"
010890014.03,"$52,507"
010890014.04,"$49,831"
010890015.00,"$51,165"
010890017.00,"$137,233"
010890018.01,"$129,122"
010890019.01,"$114,345"
010890019.02,"$129,816"
010890019.03,"$172,926"
010890020.00,"$87,068"
010890021.00,"$27,726"
010890022.00,"$34,623"
010890023.00,"$38,614"
010890024.00,"$30,442"
010890025.01,"$23,910"
010890025.02,"$39,732"
010890026.00,"$72,267"
010890027.01,"$86,236"
010890027.21,"$92,208"
010890027.22,"$115,423"
010890028.01,"$58,817"
010890028.03,"$89,029"
010890028.04,"$92,751"
010890029.11,"$97,147"
010890029.12,"$105,027"
010890029.22,"$107,403"
010890029.23,"$76,663"
010890029.24,"$97,760"
010890030.00,"$26,571"
010890031.00,"$68,073"
010890101.01,"$75,867"
010890101.02,"$94,395"
010890102.00,"$107,797"
010890103.02,"$77,868"
010890103.03,"$75,174"
010890103.04,"$72,514"
010890104.03,"$61,994"
010890104.04,"$55,877"
010890104.05,"$68,891"
010890104.06,"$74,020"
010890105.02,"$86,792"
010890105.03,"$89,506"
010890105.04,"$131,441"
010890106.12,"$85,685"
010890106.23,"$109,710"
010890106.25,"$29,668"
010890106.26,"$81,639"
010890106.27,"$79,445"
010890106.28,"$127,526"
010890106.29,"$113,613"
010890106.30,"$145,776"
010890106.31,"$136,953"
010890107.03,"$104,624"
010890107.04,"$83,857"
010890107.05,"$78,187"
010890107.06,"$77,375"
010890108.01,"$112,645"
010890108.02,"$76,727"
010890109.02,"$65,533"
010890109.03,"$97,830"
010890109.04,"$156,350"
010890109.05,"$183,544"
010890110.12,"$151,636"
010890110.13,"$98,672"
010890110.21,"$76,130"
010890110.23,"$141,019"
010890110.24,"$132,041"
010890110.25,"$94,494"
010890110.26,"$136,451"
010890110.27,"$87,387"
010890110.28,"$60,482"
010890111.00,"$107,380"
010890112.01,"$158,085"
010890112.02,"$102,667"
010890112.03,"$98,907"
010890113.01,"$89,186"
010890113.02,"$110,676"
010890114.00,"$71,917"
010939640.01,"$35,027"
010939640.02,"$36,943"
010939641.00,"$40,372"
010939642.00,"$50,065"
010939643.00,"$42,522"
010939644.01,"$40,644"
